name_msa,geoid_msa,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11
Philadelphia-Camden-Wilmington,37980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,5,10,14,10,7,25,25,21,31,42,46,29,67,121,83,95,124,63,54,174,223,196,188,169,173,152,217,222,134,124,150,130,130,202,344,427,294,233,199,95,296,425,320,280,216,134,68,124,263,339,287,191,108,109,185,211,181,215,199,84,43,39,120,187,170,143,90,58,96,126,168,194,122,72,45,83,154,126,43
Washington-Arlington-Alexandria,47900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,4,1,2,1,1,1,3,6,12,10,12,17,15,19,20,28,29,26,41,50,46,42,51,74,87,75,69,61,60,110,137,121,126,132,131,104,115,136,142,172,119,131,199,155,110,101,114,163,141,98,82,116,167,139,119,104,85,69,89,123,117,117,109,75,71,85,127,142,96,77,52,41,56,80,89,79,69,53,34,36,57,50,19
Pensacola-Ferry Pass-Brent,37860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,2,1,1,1,1,1,1,1,1,4,5,2,0,2,2,0,1,1,0,0,1,1,0,2,3,1,0,1,2,2,4,3,0,0,1,1,0,1,1,0,0,1,1,3,4,2,1,0,0,3,3,4,4,0,0,1,2,1,1,1,0,0,0,0,1,1
Las Vegas-Henderson-Paradise,29820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,2,4,2,4,4,4,4,1,9,13,11,11,7,2,0,13,24,17,10,25,25,5,6,14,15,9,12,13,4,4,13,22,18,11,6,0,12,22,16,10,13,12,8,8,15,19,15,11,7,4,7,15,15,16,11,5,3,8,18,16,8,9,9,2,0,5,11,7,2,3,2,0,9,9,2,3,2,5,6,4,10,8
Reno,39900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,1,0,0,0,0,1,4,5,2,1,2,1,1,2,2,2,1,2,2,0,3,4,4,5,2,1,2,2,1,3,3,0,2,3,2,2,2,1,0,0,1,4,5,3,1,1,2,1,0,0,0,2,4,4,2,1,1,4,5,1,1,1,0,0,4,4,0,0,1,2,3,2
Nashville-Davidson--Murfreesboro--Franklin,34980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,1,12,14,6,6,2,7,10,10,8,10,10,1,7,11,6,4,4,4,2,2,4,3,2,1,5,7,4,5,8,8,4,2,1,1,6,11,8,2,0,0,1,10,13,9,7,2,1,1,2,6,7,4,8,11,5,3,3,1,1,5,4,1,8,11,6,7,10,5,0,9,10,3,2
Edwards,20780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2,2,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colorado Springs,17820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,1,0,0,2,2,1,3,2,3,4,1,2,3,3,4,6,7,6,3,2,4,4,4,4,4,4,4,7,6,1,0,1,4,4,2,18,17,2,2,1,1,1,2,4,4,2,3,2,0,1,1,0,1,3,2,0,2,2,0,0,1,5,4,0,0,1,1,0,0,0,0,0,0,1,7,7,1,1,1,0,2,3,2,1,0
Miami-Fort Lauderdale-West Palm Beach,33100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,2,3,2,0,0,11,14,4,6,12,20,31,34,34,40,41,45,40,43,56,41,19,29,73,78,69,61,32,27,40,47,45,81,92,41,22,20,50,66,47,50,43,24,16,55,84,79,79,70,36,10,27,53,57,52,47,24,10,29,32,52,57,40,27,10,10,34,55,48,47,22,3,40,55,44,46,35,22,14,32,47,48,26
Cape Coral-Fort Myers,15980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,2,3,1,0,2,4,2,1,1,0,3,3,0,0,2,2,0,2,3,5,5,2,1,2,3,2,1,3,7,4,1,1,3,4,3,2,0,3,4,4,8,5,8,11,3,3,4,2,4,4,6,5,11,11,0,0,4,4,0,1,1,6,7,2,5,4,0,7,8,2,1,3,3,0,7,9,4,2
