states_msa_code,states_msa,states_msa_full,geoid_msa,name_msa,cases,deaths,group
17,IL,IL,15900,Canton,1,1,2020-05-02
17,IL,IL-MO,16020,Cape Girardeau,3,0,2020-05-02
17,IL,IL,16060,Carbondale-Marion,54,2,2020-05-02
17,IL,IL,16460,Centralia,10,0,2020-05-02
17,IL,IL,16660,Charleston-Mattoon,2,0,2020-05-02
17,IL,IL,37900,Peoria,65,3,2020-05-02
17,IL,IL-MO,39500,Quincy,1,0,2020-05-02
17,IL,IL,40300,Rochelle,26,1,2020-05-02
17,IL,IL,38700,Pontiac,5,0,2020-05-02
17,IL,IL,40420,Rockford,464,15,2020-05-02
17,IL,IL-KY,37140,Paducah,19,0,2020-05-02
17,IL,IL,30660,Lincoln,336,1,2020-05-02
18,IN,IN,26900,Indianapolis-Carmel-Anderson,2372,157,2020-05-02
18,IN,IN-KY,31140,Louisville/Jefferson County,658,58,2020-05-02
18,IN,IN,47700,Warsaw,3,0,2020-05-02
18,IN,IN,47780,Washington,10,2,2020-05-02
18,IN,IN-MI,43780,South Bend-Mishawaka,437,6,2020-05-02
18,IN,IN,31500,Madison,67,0,2020-05-02
18,IN,IN,42980,Seymour,118,0,2020-05-02
18,IN,IN,23140,Frankfort,43,0,2020-05-02
18,IN,IN,23060,Fort Wayne,219,7,2020-05-02
18,IN,IN,39980,Richmond,555,22,2020-05-02
18,IN,IN,38500,Plymouth,3,0,2020-05-02
18,IN,IN,37940,Peru,16,1,2020-05-02
18,IN,IN,11420,Angola,38,1,2020-05-02
18,IN,IN,12140,Auburn,5,0,2020-05-02
18,IN,IN,45460,Terre Haute,23,1,2020-05-02
18,IN,IN,24700,Greensburg,14,0,2020-05-02
18,IN,IN-KY,21780,Evansville,88,7,2020-05-02
18,IN,IN,35860,North Vernon,17,1,2020-05-02
18,IN,IN,21140,Elkhart-Goshen,143,9,2020-05-02
18,IN,IN,13260,Bedford,17,2,2020-05-02
18,IN,IN,35220,New Castle,38,2,2020-05-02
18,IN,IN,34620,Muncie,37,0,2020-05-02
18,IN,IN,26540,Huntington,4,0,2020-05-02
18,IN,IN,33140,Michigan City-La Porte,97,5,2020-05-02
18,IN,IN,31980,Marion,132,14,2020-05-02
18,IN,IN-KY-OH,17140,Cincinnati,1386,77,2020-05-02
18,IN,IN,29200,Lafayette-West Lafayette,163,1,2020-05-02
18,IN,IN,28340,Kendallville,58,2,2020-05-02
18,IN,IN,29020,Kokomo,66,2,2020-05-02
18,IN,IN,30900,Logansport,293,0,2020-05-02
18,IN,IN,47180,Vincennes,1,0,2020-05-02
18,IN,IN,18820,Crawfordsville,38,3,2020-05-02
18,IN,IN,47340,Wabash,13,1,2020-05-02
